,artist_name,track_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,YEAR,mode2
36,Gorillaz,On Melancholy Hill,1,0.6890000000000001,0.7390000000000001,2,-5.81,1,0.026000000000000002,1.51e-05,0.509,0.064,0.578,120.42299999999999,233867,4,2010,major
37,Mandy Moore,"When Will My Life Begin? - From ""Tangled"" / Soundtrack Version",1,0.6729999999999999,0.42,4,-7.581,1,0.0317,0.11199999999999999,0.0,0.0897,0.385,108.066,152333,4,2010,major
38,Mike Posner,Cooler Than Me - Single Mix,1,0.768,0.82,7,-4.63,0,0.0475,0.179,0.0,0.7040000000000001,0.625,129.969,213293,4,2010,minor
39,Rodney Atkins,Farmer's Daughter,1,0.612,0.7909999999999999,6,-3.5189999999999997,1,0.0291,0.22399999999999998,0.0,0.11199999999999999,0.7859999999999999,133.977,207040,4,2010,major
40,Mandy Moore,"I See the Light - From ""Tangled"" / Soundtrack Version",1,0.281,0.139,5,-14.392000000000001,1,0.0305,0.8290000000000001,0.0,0.0725,0.16899999999999998,92.64,224240,4,2010,major
41,Jeremih,Love Don't Change,1,0.539,0.424,11,-9.361,1,0.0406,0.317,0.0,0.10800000000000001,0.17,118.071,256867,4,2010,major
42,CeeLo Green,Fuck You,1,0.69,0.8340000000000001,0,-5.79,1,0.0566,0.129,0.0,0.136,0.738,127.43,222933,4,2010,major
43,Kesha,We R Who We R,1,0.736,0.8170000000000001,8,-4.9,1,0.0407,0.00987,0.0016699999999999998,0.11699999999999999,0.653,119.95,204760,4,2010,major
44,Lil Wayne,Right Above It,1,0.376,0.841,3,-4.348,0,0.35600000000000004,0.0435,0.0,0.578,0.46299999999999997,76.05199999999998,271947,4,2010,minor
45,Train,Marry Me,1,0.461,0.267,0,-8.514,1,0.0278,0.8340000000000001,2.0300000000000002e-05,0.107,0.48100000000000004,87.91799999999998,205453,4,2010,major
46,Nelly,Just A Dream - Main,1,0.531,0.752,1,-6.1610000000000005,1,0.0305,0.0421,0.0,0.12,0.10300000000000001,89.917,237800,4,2010,major
47,Jason Derulo,Ridin' Solo,1,0.442,0.83,9,-4.02,1,0.146,0.128,0.0,0.129,0.578,89.338,215747,4,2010,major
48,The Black Keys,Howlin' for You,1,0.705,0.735,11,-6.646,1,0.0931,0.027999999999999997,0.0783,0.11199999999999999,0.44799999999999995,132.627,191800,4,2010,major
49,Josh Turner,Why Don't We Just Dance,1,0.677,0.7759999999999999,5,-5.933,1,0.0386,0.42,0.0006889999999999999,0.0954,0.642,121.834,192800,4,2010,major
50,Kesha,Your Love Is My Drug,1,0.826,0.612,1,-3.891,1,0.0982,0.006809999999999999,0.0,0.0889,0.7559999999999999,120.057,187133,4,2010,major
51,Avenged Sevenfold,Nightmare,1,0.5539999999999999,0.9490000000000001,2,-4.928,1,0.0787,0.00031800000000000003,9.98e-05,0.2,0.233,129.984,374453,4,2010,major
52,Kanye West,Monster,1,0.628,0.6920000000000001,2,-5.64,1,0.20199999999999999,0.00244,0.013000000000000001,0.6679999999999999,0.0964,124.791,378893,5,2010,major
53,Jeremih,Down On Me,1,0.7,0.598,2,-7.782999999999999,1,0.114,0.0369,0.0,0.111,0.594,160.041,228453,4,2010,major
54,Far East Movement,Rocketeer,1,0.664,0.845,4,-6.115,0,0.0461,0.18100000000000002,0.0,0.267,0.35700000000000004,96.005,211253,4,2010,minor
55,Prince Royce,Corazon Sin Cara,1,0.7040000000000001,0.83,11,-3.139,1,0.0297,0.0489,0.0,0.111,0.9570000000000001,127.104,211453,4,2010,major
56,Travie McCoy,Billionaire (feat. Bruno Mars),1,0.633,0.6729999999999999,6,-6.403,0,0.258,0.297,0.0,0.20600000000000002,0.659,86.77600000000002,211160,4,2010,minor
57,Rihanna,S&M,1,0.7659999999999999,0.682,1,-5.02,1,0.0419,0.0113,0.00016,0.10400000000000001,0.833,127.96600000000001,243533,4,2010,major
58,Roar,I Can't Handle Change,1,0.247,0.43799999999999994,5,-8.479,1,0.0358,0.0455,0.0008710000000000001,0.111,0.39,185.71599999999998,198213,3,2010,major
59,Jason Derulo,In My Head,1,0.762,0.748,0,-4.15,0,0.033,0.0266,0.0,0.348,0.851,110.009,199027,4,2010,minor
60,Miguel,Girl With The Tattoo Enter.lewd,1,0.34700000000000003,0.239,6,-11.314,0,0.0297,0.856,0.000177,0.168,0.126,113.361,102813,4,2010,minor
61,Kid Cudi,Mr. Rager,1,0.67,0.726,7,-8.689,1,0.0272,0.39,0.882,0.14,0.581,102.00299999999999,294227,4,2010,major
62,Two Door Cinema Club,Undercover Martyn,1,0.442,0.872,2,-5.072,1,0.12300000000000001,0.00025,1.74e-05,0.0602,0.568,159.86700000000005,167773,4,2010,major
63,My Darkest Days,Porn Star Dancing,1,0.474,0.9229999999999999,2,-3.405,1,0.0897,0.0199,0.0,0.0673,0.34700000000000003,160.035,199013,4,2010,major
64,Rick Ross,Aston Martin Music,1,0.57,0.58,10,-5.5470000000000015,0,0.209,0.0125,0.0,0.0497,0.405,171.917,270627,4,2010,minor
65,Taio Cruz,Break Your Heart,1,0.6659999999999999,0.899,8,-4.676,1,0.027999999999999997,0.00155,0.0,0.0677,0.629,122.05,186267,4,2010,major
66,Katy Perry,Last Friday Night (T.G.I.F.),1,0.652,0.812,3,-3.7969999999999997,0,0.0409,0.00125,3.01e-05,0.667,0.72,126.023,230733,4,2010,minor
67,Alan Jackson,It's Five O'Clock Somewhere,1,0.713,0.772,2,-6.69,1,0.0372,0.20800000000000002,0.0,0.21100000000000002,0.88,125.20200000000001,230133,4,2010,major
68,Calmsound,Thunder and Rain,1,0.109,0.501,1,-28.708000000000002,1,0.13,2.2800000000000002e-05,0.715,0.493,0.0625,92.535,600000,3,2010,major
69,Mac Miller,Knock Knock,1,0.667,0.922,4,-4.857,0,0.128,0.0353,0.0,0.364,0.509,108.95200000000001,202807,4,2010,minor
70,Plain White T's,Rhythm Of Love,1,0.531,0.542,8,-7.721,1,0.0432,0.35600000000000004,0.0,0.11900000000000001,0.726,171.878,200200,4,2010,major
71,Sick Puppies,You're Going Down,1,0.488,0.8420000000000001,6,-5.926,1,0.0469,0.0116,0.0012699999999999999,0.146,0.41,90.00299999999999,187347,4,2010,major
72,Katy Perry,Teenage Dream,1,0.7190000000000001,0.7979999999999999,10,-4.582,1,0.0361,0.0162,2.34e-06,0.134,0.591,120.01100000000001,227741,4,2010,major
73,Rihanna,Only Girl (In The World),1,0.7859999999999999,0.716,11,-4.253,0,0.0409,0.102,1.7199999999999998e-05,0.0557,0.595,125.921,235520,4,2010,minor
74,Mandy Moore,"I've Got a Dream - From ""Tangled""/Soundtrack Version",1,0.604,0.541,1,-7.377999999999999,0,0.0915,0.639,0.0,0.16899999999999998,0.892,134.326,191413,4,2010,minor
75,Godsmack,Cryin' Like A Bitch!!,1,0.5429999999999999,0.8079999999999999,10,-5.484,1,0.0407,7.190000000000001e-05,0.00336,0.114,0.47200000000000003,95.19,201667,4,2010,major
76,Eminem,Cinderella Man,1,0.679,0.9079999999999999,8,-3.411,1,0.20199999999999999,0.23399999999999999,0.0,0.0821,0.687,85.91799999999998,279013,4,2010,major
77,Ludacris,My Chick Bad,1,0.624,0.723,1,-6.782,1,0.37799999999999995,0.172,0.0,0.483,0.757,84.789,216933,4,2010,major
78,Kesha,Take It Off,1,0.7290000000000001,0.675,5,-5.292000000000002,0,0.0286,4.14e-05,0.00126,0.0867,0.74,125.036,215200,4,2010,minor
79,Dr. Dog,Where'd All the Time Go?,1,0.45399999999999996,0.82,2,-4.1930000000000005,1,0.0567,0.132,0.0009689999999999999,0.115,0.575,166.303,234800,4,2010,major
80,Kanye West,Devil In A New Dress,1,0.433,0.76,8,-4.935,0,0.0726,0.0175,0.0,0.158,0.205,79.789,351947,4,2010,minor
81,Eminem,No Love,1,0.522,0.932,11,-2.87,1,0.255,0.11900000000000001,0.0,0.177,0.33,129.47299999999998,299507,4,2010,major
82,Nick Jonas,"Introducing Me - From ""Camp Rock 2: The Final Jam""",1,0.513,0.496,11,-6.0489999999999995,1,0.0511,0.46,0.0,0.106,0.6759999999999999,113.072,186893,4,2010,major
83,Shontelle,Impossible - Main,1,0.599,0.624,8,-3.6310000000000002,1,0.0343,0.385,0.0,0.125,0.539,90.03399999999998,226533,4,2010,major
84,Big Time Rush,Boyfriend,1,0.614,0.857,1,-4.171,0,0.111,0.0987,0.0,0.177,0.677,164.146,201040,4,2010,minor
85,Keri Hilson,Pretty Girl Rock,1,0.6659999999999999,0.87,11,-5.004,0,0.24600000000000002,0.203,0.0,0.0851,0.9,160.014,243920,4,2010,minor
86,Jason Aldean,My Kinda Party,1,0.41,0.9,0,-4.249,0,0.0656,0.0167,1.09e-05,0.33899999999999997,0.5579999999999999,176.96200000000005,284960,4,2010,minor
87,Brad Paisley,Whiskey Lullaby (feat. Alison Krauss),1,0.5870000000000001,0.35,2,-10.954,1,0.0318,0.74,0.0,0.156,0.17,74.479,259453,4,2010,major
88,Turnpike Troubadours,Long Hot Summer Day,1,0.47600000000000003,0.652,9,-5.7829999999999995,1,0.0277,0.0981,0.0,0.0923,0.557,145.356,252480,4,2010,major
